,Commune_Code_INSEE,Number_of_Taxpayers,Average_Assets_in_Euro,Average_Tax_in_Euro,Source_File,Year,total_tax_per_city,total_tax_per_city_lag1,mean,median,min,max,mean_distance_to_10_nearest,to_be_predicted,predicted,Prophet
48,06079,127.0,2395674.0,12211.0,ificom-2019.xls,2019,1550797.0,,,,,,14.189344395692121,False,False,
49,06079,116.0,2493737.0,13506.0,ificom-2020.xlsx,2020,1566696.0,1550797.0,1550797.0,1550797.0,1550797.0,1550797.0,14.189344395692121,False,False,
50,06079,119.0,2624613.0,15158.0,ificom-2021.xlsx,2021,1803802.0,1566696.0,1558746.5,1558746.5,1550797.0,1566696.0,14.189344395692121,False,False,
51,06079,135.0,2583542.0,14558.0,ificom-2022.xlsx,2022,1965330.0,1803802.0,1640431.6666666667,1566696.0,1550797.0,1803802.0,14.189344395692121,False,False,
52,06079,,,,,2023,1875744.0,1965330.0,1721656.25,1685249.0,1550797.0,1965330.0,,False,True,
53,06079,,,,,2024,1911662.25,1875744.0,1752473.8,1803802.0,1550797.0,1965330.0,,False,True,
54,06079,,,,,2025,2020188.5,1911662.25,1779005.2083333333,1839773.0,1550797.0,1965330.0,,False,True,
55,06079,,,,,2026,2038485.875,2020188.5,1813459.9642857143,1875744.0,1550797.0,2020188.5,,False,True,
1450,06079,,,,,2027,2051065.25,2038485.875,1841588.203125,1893703.125,1550797.0,2038485.875,,False,True,
56,06083,90.0,1832887.0,5801.0,ificom-2019.xls,2019,522090.0,,,,,,40.15321548512891,False,False,
57,06083,86.0,1845684.0,6238.0,ificom-2020.xlsx,2020,536468.0,522090.0,522090.0,522090.0,522090.0,522090.0,40.15321548512891,False,False,
58,06083,97.0,2028443.0,6979.0,ificom-2021.xlsx,2021,676963.0,536468.0,529279.0,529279.0,522090.0,536468.0,40.15321548512891,False,False,
59,06083,93.0,2086052.0,8343.0,ificom-2022.xlsx,2022,775899.0,676963.0,578507.0,536468.0,522090.0,676963.0,40.15321548512891,False,False,
60,06083,,,,,2023,785779.4375,775899.0,627855.0,606715.5,522090.0,775899.0,,False,True,
61,06083,,,,,2024,827427.875,785779.4375,659439.8875,676963.0,522090.0,785779.4375,,False,True,
62,06083,,,,,2025,854510.4375,827427.875,687437.8854166666,726431.0,522090.0,827427.875,,False,True,
63,06083,,,,,2026,922014.125,854510.4375,711305.3928571428,775899.0,522090.0,854510.4375,,False,True,
1451,06083,,,,,2027,949290.5625,922014.125,737643.984375,780839.21875,522090.0,922014.125,,False,True,
64,06085,269.0,2274836.0,10156.0,ificom-2022.xlsx,2022,2731964.0,,,,,,11.42702486706712,False,False,
65,06085,,,,,2023,3030953.25,2731964.0,2731964.0,2731964.0,2731964.0,2731964.0,,False,True,
66,06085,,,,,2024,3334038.25,3030953.25,2881458.625,2881458.625,2731964.0,3030953.25,,False,True,
67,06085,,,,,2025,3385166.25,3334038.25,3032318.5,3030953.25,2731964.0,3334038.25,,False,True,
68,06085,,,,,2026,3557422.0,3385166.25,3120530.4375,3182495.75,2731964.0,3385166.25,,False,True,
1452,06085,,,,,2027,3567301.5,3557422.0,3207908.75,3334038.25,2731964.0,3557422.0,,False,True,
69,06088,1243.0,2185850.0,9116.0,ificom-2019.xls,2019,11331188.0,,,,,,20.495229701663714,False,False,
70,06088,1216.0,2218521.0,9339.0,ificom-2020.xlsx,2020,11356224.0,11331188.0,11331188.0,11331188.0,11331188.0,11331188.0,20.495229701663714,False,False,
71,06088,1281.0,2229664.0,9401.0,ificom-2021.xlsx,2021,12042681.0,11356224.0,11343706.0,11343706.0,11331188.0,11356224.0,20.495229701663714,False,False,
72,06088,1336.0,2271328.0,9809.0,ificom-2022.xlsx,2022,13104824.0,12042681.0,11576697.666666666,11356224.0,11331188.0,12042681.0,20.495229701663714,False,False,
73,06088,,,,,2023,8454890.122787612,13104824.0,11958729.25,11699452.5,11331188.0,13104824.0,,False,True,True
74,06088,,,,,2024,6484447.249536148,8454890.122787612,10637665.2,11356224.0,5353409.0,13104824.0,,False,True,True
75,06088,,,,,2025,13244267.216529677,6484447.249536148,9756955.833333334,11343706.0,5353409.0,13104824.0,,False,True,True
76,06088,,,,,2026,12277552.055823851,13244267.216529677,9127877.714285715,11331188.0,5353409.0,13104824.0,,False,True,True
1453,06088,,,,,2027,10807414.60740261,12277552.055823851,8656069.125,8342298.5,5353409.0,13104824.0,,False,True,True
77,06123,87.0,2188938.0,9157.0,ificom-2019.xls,2019,796659.0,,,,,,16.855972218041472,False,False,
78,06123,82.0,2140158.0,8355.0,ificom-2020.xlsx,2020,685110.0,796659.0,796659.0,796659.0,796659.0,796659.0,16.855972218041472,False,False,
79,06123,84.0,2259076.0,9356.0,ificom-2021.xlsx,2021,785904.0,685110.0,740884.5,740884.5,685110.0,796659.0,16.855972218041472,False,False,
80,06123,87.0,2342226.0,10307.0,ificom-2022.xlsx,2022,896709.0,785904.0,755891.0,785904.0,685110.0,796659.0,16.855972218041472,False,False,
81,06123,,,,,2023,959906.5625,896709.0,791095.5,791281.5,685110.0,896709.0,,False,True,
82,06123,,,,,2024,1009219.5,959906.5625,824857.7125,796659.0,685110.0,959906.5625,,False,True,
83,06123,,,,,2025,1018998.4375,1009219.5,855584.6770833334,846684.0,685110.0,1009219.5,,False,True,
84,06123,,,,,2026,1035806.625,1018998.4375,878929.5,896709.0,685110.0,1018998.4375,,False,True,
1454,06123,,,,,2027,1065629.5,1035806.625,898539.140625,928307.78125,685110.0,1035806.625,,False,True,
85,06155,168.0,2065740.0,7908.0,ificom-2019.xls,2019,1328544.0,,,,,,11.515212217070212,False,False,
