,Region,Department,Commune_Code_INSEE,City,Yearly_Growth
172,ILE-DE-FRANCE,HAUTS-DE-SEINE,92050,NANTERRE,4.971272850330002
174,ILE-DE-FRANCE,HAUTS-DE-SEINE,92060,LE PLESSIS ROBINSON,5.853647328913989
175,ILE-DE-FRANCE,HAUTS-DE-SEINE,92062,PUTEAUX,-0.9600516714384068
179,ILE-DE-FRANCE,HAUTS-DE-SEINE,92072,SEVRES,-0.3822766288107804
180,ILE-DE-FRANCE,HAUTS-DE-SEINE,92073,SURESNES,1.1327050228827562
181,ILE-DE-FRANCE,HAUTS-DE-SEINE,92075,VANVES,0.5947984555306407
183,ILE-DE-FRANCE,SEINE-SAINT-DENIS,93045,LES LILAS,1.1486107631882359
184,ILE-DE-FRANCE,SEINE-SAINT-DENIS,93048,MONTREUIL SOUS BOIS,5.944036585196222
185,ILE-DE-FRANCE,SEINE-SAINT-DENIS,93051,NOISY LE GRAND,7.900881258968324
187,ILE-DE-FRANCE,VAL-DE-MARNE,94016,CACHAN,7.6886685568543935
188,ILE-DE-FRANCE,VAL-DE-MARNE,94017,CHAMPIGNY SUR MARNE,4.845630157688552
189,ILE-DE-FRANCE,VAL-DE-MARNE,94018,CHARENTON LE PONT,2.4337307584749146
190,ILE-DE-FRANCE,VAL-DE-MARNE,94028,CRETEIL,5.90764617975609
191,ILE-DE-FRANCE,VAL-DE-MARNE,94033,FONTENAY SOUS BOIS,2.6113155215190575
192,ILE-DE-FRANCE,VAL-DE-MARNE,94038,L'HAY LES ROSES,6.967180649784963
193,ILE-DE-FRANCE,VAL-DE-MARNE,94046,MAISONS-ALFORT,3.972105533380939
194,ILE-DE-FRANCE,VAL-DE-MARNE,94052,NOGENT SUR MARNE,2.0939892927651393
195,ILE-DE-FRANCE,VAL-DE-MARNE,94058,LE PERREUX SUR MARNE,0.46399178539255903
196,ILE-DE-FRANCE,VAL-DE-MARNE,94067,SAINT MANDE,1.2449457519430718
198,ILE-DE-FRANCE,VAL-DE-MARNE,94071,SUCY EN BRIE,3.7549237506532807
200,ILE-DE-FRANCE,VAL-DE-MARNE,94080,VINCENNES,3.2170101218065916
201,ILE-DE-FRANCE,VAL-DE-MARNE,94081,VITRY SUR SEINE,6.260658536946702
202,ILE-DE-FRANCE,VAL-D'OISE,95428,MONTMORENCY,1.5720648180708308
205,LA REUNION,LA REUNION,97411,SAINT DENIS,0.8422333148875127
206,LA REUNION,LA REUNION,97415,SAINT PAUL,1.0703521626383106
207,LA REUNION,LA REUNION,97416,SAINT PIERRE,3.263020436263795
208,LA REUNION,LA REUNION,97422,TAMPON,4.344036333867161
