,Region,Department,Commune_Code_INSEE,City,latitude,longitude
87,PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06155,VALLAURIS,43.5766472999,7.05836612893
88,PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06155,VALLAURIS,43.5766472999,7.05836612893
89,,,06155,,,
90,,,06155,,,
91,,,06155,,,
92,,,06155,,,
1455,,,06155,,,
93,GRAND-EST,AUBE,10387,TROYES,48.2967099637,4.07827967525
94,GRAND-EST,AUBE,10387,TROYES,48.2967099637,4.07827967525
95,,,10387,,,
96,,,10387,,,
97,,,10387,,,
98,,,10387,,,
1456,,,10387,,,
99,OCCITANIE,AUDE,11262,NARBONNE,43.1652399898,3.02023868739
100,OCCITANIE,AUDE,11262,NARBONNE,43.1652399898,3.02023868739
101,OCCITANIE,AUDE,11262,NARBONNE,43.1652399898,3.02023868739
102,,,11262,,,
103,,,11262,,,
104,,,11262,,,
105,,,11262,,,
1457,,,11262,,,
106,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13001,AIX EN PROVENCE,43.5360708378,5.39857444582
107,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13001,AIX EN PROVENCE,43.5360708378,5.39857444582
108,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13001,AIX EN PROVENCE,43.5360708378,5.39857444582
109,,,13001,,,
110,,,13001,,,
111,,,13001,,,
112,,,13001,,,
1458,,,13001,,,
113,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13002,ALLAUCH,43.3533145712,5.51134767187
114,,,13002,,,
115,,,13002,,,
116,,,13002,,,
117,,,13002,,,
1459,,,13002,,,
118,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13004,ARLES,43.5468692378,4.66215642574
119,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13004,ARLES,43.5468692378,4.66215642574
120,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13004,ARLES,43.5468692378,4.66215642574
121,,,13004,,,
122,,,13004,,,
123,,,13004,,,
124,,,13004,,,
1460,,,13004,,,
125,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13005,AUBAGNE,43.2934843764,5.56331273477
126,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13005,AUBAGNE,43.2934843764,5.56331273477
127,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13005,AUBAGNE,43.2934843764,5.56331273477
128,,,13005,,,
129,,,13005,,,
130,,,13005,,,
131,,,13005,,,
1461,,,13005,,,
132,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13028,LA CIOTAT,43.1926410861,5.61318955778
133,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13028,LA CIOTAT,43.1926410861,5.61318955778
134,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13028,LA CIOTAT,43.1926410861,5.61318955778
135,,,13028,,,
136,,,13028,,,
137,,,13028,,,
138,,,13028,,,
1462,,,13028,,,
139,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13103,SALON DE PROVENCE,43.6462885238,5.06814649576
140,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13103,SALON DE PROVENCE,43.6462885238,5.06814649576
141,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13103,SALON DE PROVENCE,43.6462885238,5.06814649576
142,,,13103,,,
143,,,13103,,,
144,,,13103,,,
145,,,13103,,,
1463,,,13103,,,
146,NORMANDIE,CALVADOS,14118,CAEN,49.1847936737,-0.369801713036
147,NORMANDIE,CALVADOS,14118,CAEN,49.1847936737,-0.369801713036
148,NORMANDIE,CALVADOS,14118,CAEN,49.1847936737,-0.369801713036
149,,,14118,,,
150,,,14118,,,
151,,,14118,,,
152,,,14118,,,
1464,,,14118,,,
153,NOUVELLE-AQUITAINE,CHARENTE-MARITIME,17300,LA ROCHELLE,46.1620643972,-1.17465702836
154,NOUVELLE-AQUITAINE,CHARENTE-MARITIME,17300,LA ROCHELLE,46.1620643972,-1.17465702836
155,NOUVELLE-AQUITAINE,CHARENTE-MARITIME,17300,LA ROCHELLE,46.1620643972,-1.17465702836
156,,,17300,,,
157,,,17300,,,
158,,,17300,,,
159,,,17300,,,
1465,,,17300,,,
160,CENTRE-VAL DE LOIRE,CHER,18033,BOURGES,47.0749572013,2.40417137557
161,,,18033,,,
162,,,18033,,,
163,,,18033,,,
164,,,18033,,,
1466,,,18033,,,
165,NOUVELLE-AQUITAINE,CORREZE,19031,BRIVE,45.1435830664,1.51936836063
166,NOUVELLE-AQUITAINE,CORREZE,19031,BRIVE,45.1435830664,1.51936836063
167,NOUVELLE-AQUITAINE,CORREZE,19031,BRIVE,45.1435830664,1.51936836063
168,,,19031,,,
169,,,19031,,,
170,,,19031,,,
171,,,19031,,,
1467,,,19031,,,
172,BOURGOGNE-FRANCHE-COMTE,COTE-D'OR,21054,BEAUNE,47.0255189366,4.83767985985
173,BOURGOGNE-FRANCHE-COMTE,COTE-D'OR,21054,BEAUNE,47.0255189366,4.83767985985
174,,,21054,,,
175,,,21054,,,
176,,,21054,,,
177,,,21054,,,
1468,,,21054,,,
178,BOURGOGNE-FRANCHE-COMTE,COTE-D'OR,21231,DIJON,47.3229437965,5.03788805877
179,BOURGOGNE-FRANCHE-COMTE,COTE-D'OR,21231,DIJON,47.3229437965,5.03788805877
180,BOURGOGNE-FRANCHE-COMTE,COTE-D'OR,21231,DIJON,47.3229437965,5.03788805877
181,,,21231,,,
182,,,21231,,,
183,,,21231,,,
184,,,21231,,,
1469,,,21231,,,
185,BOURGOGNE-FRANCHE-COMTE,DOUBS,25056,BESANCON,47.2553872249,6.01948696494
