,Region,Department,Commune_Code_INSEE,City,Number_of_Taxpayers,Average_Assets_in_Euro,Average_Tax_in_Euro,Source_File,Year,latitude,longitude,total_tax_per_city
154,ILE-DE-FRANCE,HAUTS-DE-SEINE,92075,VANVES,170.0,2124748.0,8415.0,ificom-2022.xlsx,2022.0,48.8215227089,2.28739490768,1430550.0
155,ILE-DE-FRANCE,HAUTS-DE-SEINE,92019,CHATENAY MALABRY,126.0,2124573.0,8238.0,ificom-2022.xlsx,2022.0,48.7681690197,2.26282598525,1037988.0
156,ILE-DE-FRANCE,YVELINES,78146,CHATOU,272.0,2122436.0,7476.0,ificom-2022.xlsx,2022.0,48.8965574645,2.15393458329,2033472.0
157,NOUVELLE-AQUITAINE,DEUX-SEVRES,79191,NIORT,56.0,2119336.0,7370.0,ificom-2022.xlsx,2022.0,46.328260242,-0.465353019369,412720.0
158,PAYS DE LA LOIRE,VENDEE,85194,LES SABLES D'OLONNE,193.0,2118891.0,8533.0,ificom-2022.xlsx,2022.0,46.5007612799,-1.79255128677,1646869.0
159,ILE-DE-FRANCE,YVELINES,78517,RAMBOUILLET,91.0,2117592.0,8080.0,ificom-2022.xlsx,2022.0,48.6539051954,1.82652871851,735280.0
160,ILE-DE-FRANCE,SEINE-SAINT-DENIS,93005,AULNAY SOUS BOIS,52.0,2117325.0,8186.0,ificom-2022.xlsx,2022.0,48.9458384367,2.49329041687,425672.0
161,ILE-DE-FRANCE,HAUTS-DE-SEINE,92048,MEUDON,467.0,2116213.0,7413.0,ificom-2022.xlsx,2022.0,48.8037275796,2.22696287829,3461871.0
162,OCCITANIE,TARN-ET-GARONNE,82121,MONTAUBAN,78.0,2114443.0,8140.0,ificom-2022.xlsx,2022.0,44.0222594578,1.36408636501,634920.0
163,OCCITANIE,TARN,81004,ALBI,65.0,2113080.0,8346.0,ificom-2022.xlsx,2022.0,43.9258213622,2.14686328555,542490.0
164,OCCITANIE,HERAULT,34003,AGDE,76.0,2112517.0,8321.0,ificom-2022.xlsx,2022.0,43.309129116,3.48447903133,632396.0
165,BOURGOGNE-FRANCHE-COMTE,DOUBS,25056,BESANCON,106.0,2104686.0,8156.0,ificom-2022.xlsx,2022.0,47.2553872249,6.01948696494,864536.0
166,ILE-DE-FRANCE,HAUTS-DE-SEINE,92073,SURESNES,325.0,2104393.0,7773.0,ificom-2022.xlsx,2022.0,48.8698479132,2.21965517625,2526225.0
167,AUVERGNE-RHONE-ALPES,PUY-DE-DOME,63113,CLERMONT-FERRAND,127.0,2104046.0,8096.0,ificom-2022.xlsx,2022.0,45.7856492991,3.11554542903,1028192.0
168,PROVENCE-ALPES-COTE D'AZUR,VAR,83129,SIX-FOURS-LES-PLAGES,137.0,2100343.0,8070.0,ificom-2022.xlsx,2022.0,43.086818602,5.82924464931,1105590.0
169,NOUVELLE-AQUITAINE,PYRENEES-ATLANTIQUES,64024,ANGLET,306.0,2099088.0,8281.0,ificom-2022.xlsx,2022.0,43.4917846595,-1.51623373371,2533986.0
170,ILE-DE-FRANCE,VAL-DE-MARNE,94071,SUCY EN BRIE,73.0,2099084.0,8074.0,ificom-2022.xlsx,2022.0,48.7656456593,2.5330560803,589402.0
171,CENTRE-VAL DE LOIRE,INDRE-ET-LOIRE,37261,TOURS,232.0,2096669.0,7992.0,ificom-2022.xlsx,2022.0,47.3986382281,0.696526376417,1854144.0
172,CENTRE-VAL DE LOIRE,CHER,18033,BOURGES,52.0,2087067.0,8250.0,ificom-2022.xlsx,2022.0,47.0749572013,2.40417137557,429000.0
