Region,Department,Commune_Code_INSEE,City,Number_of_Taxpayers,Average_Assets_in_Euro,Average_Tax_in_Euro,Source_File,Year,latitude,longitude,total_tax_per_city
OCCITANIE,GARD,,NIMES,209.0,2004702.0,7771.0,ificom-2019.xls,2019.0,,,1624139.0
PAYS DE LA LOIRE,LOIRE-ATLANTIQUE,,VERTOU,52.0,2028753.0,7761.0,ificom-2019.xls,2019.0,,,403572.0
ILE-DE-FRANCE,YVELINES,,RAMBOUILLET,84.0,2043989.0,7759.0,ificom-2019.xls,2019.0,,,651756.0
CENTRE-VAL DE LOIRE,INDRE-ET-LOIRE,,TOURS,176.0,2068887.0,7743.0,ificom-2019.xls,2019.0,,,1362768.0
PROVENCE-ALPES-COTE D'AZUR,VAR,,SIX-FOURS-LES-PLAGES,108.0,2063007.0,7736.0,ificom-2019.xls,2019.0,,,835488.0
PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,,AUBAGNE,80.0,2263026.0,7726.0,ificom-2019.xls,2019.0,,,618080.0
PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06027,CAGNES SUR MER,153.0,2004050.0,7723.0,ificom-2019.xls,2019.0,43.6715162078,7.15275703379,1181619.0
PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06027,CAGNES SUR MER,153.0,2004050.0,7723.0,ificom-2019.xls,2019.0,43.6715162078,7.15275703379,1181619.0
LES-HAUTS-DE-FRANCE,NORD,,DUNKERQUE,53.0,2027053.0,7673.0,ificom-2019.xls,2019.0,,,406669.0
LES-HAUTS-DE-FRANCE,NORD,,VILLENEUVE D'ASCQ,103.0,2088373.0,7670.0,ificom-2019.xls,2019.0,,,790010.0
PROVENCE-ALPES-COTE D'AZUR,VAR,,HYERES,218.0,2080389.0,7623.0,ificom-2019.xls,2019.0,,,1661814.0
ILE-DE-FRANCE,YVELINES,,CHATOU,232.0,2086994.0,7527.0,ificom-2019.xls,2019.0,,,1746264.0
